,symbol,fund_return_ytd,average_annual_fund_return_for_1_year,average_annual_fund_return_for_3_year,average_annual_fund_return_for_5_year,average_annual_fund_return_for_10_year,average_annual_fund_return_since_inception,benchmark_return_ytd,average_annual_benchmark_return_for_1_year,average_annual_benchmark_return_for_3_year,average_annual_benchmark_return_for_5_year,average_annual_benchmark_return_for_10_year,average_annual_benchmark_return_since_inception
0,VTIVX,0.1385,0.0935,0.0453,0.0821,0.0759,0.0775,0.1404,0.1021,0.0483,0.0865,0.0792,0.0797
1,VTMSX,0.0285,-0.0408,0.0584,0.057,0.075,0.0978,0.0289,-0.0402,0.0585,0.0563,0.0751,0.0972
2,VCORX,0.0198,0.0151,-0.0439,0.0135,,0.0105,0.0178,0.0132,-0.0446,0.0079,0.014,0.0075
3,VBAIX,0.1231,0.0802,0.0308,0.0753,0.0739,0.0651,0.124,0.0824,0.0332,0.0786,0.0761,0.0664
4,VWILX,0.0958,0.0417,-0.0711,0.0804,0.0684,0.0726,0.1009,0.0926,0.0167,0.0506,0.0341,0.0464
5,VTWV,0.0215,-0.0456,0.0641,0.0469,0.0565,0.0852,0.0196,-0.0473,0.0647,0.0472,0.0571,0.0861
6,VCDAX,0.3102,0.1672,0.0375,0.1281,0.1183,0.1075,0.3109,0.1678,0.0382,0.1288,0.1191,0.1087
7,VGWAX,0.0855,0.0655,0.0554,0.0748,,0.0644,0.1331,0.1001,0.0346,0.0733,,0.0617
8,VMLTX,0.0291,0.0318,0.0018,0.0159,0.0139,0.0362,0.0264,0.0286,-0.0014,0.0143,0.0133,
9,VTSIX,0.0289,-0.0404,0.0587,0.0574,0.0754,0.0956,0.0289,-0.0402,0.0585,0.0563,0.0751,0.0945
10,VWELX,0.1009,0.0694,0.0469,0.0767,0.0763,0.0822,0.1439,0.0993,0.0469,0.0883,0.0851,
11,VGLT,-0.0467,-0.0678,-0.1415,-0.0189,0.0117,0.0248,-0.0511,-0.0672,-0.1416,-0.0181,0.0123,0.0255
12,VCIT,0.046,0.0376,-0.0385,0.0231,0.0266,0.0388,0.0441,0.0405,-0.0377,0.0238,0.0274,0.0398
13,VDADX,0.0995,0.0575,0.0794,0.1085,,0.1054,0.1,0.0581,0.0802,0.1094,0.1054,0.1062
14,VWNDX,0.0882,0.0472,0.1225,0.113,0.094,0.1122,0.0561,0.0136,0.0827,0.0752,0.0809,
15,VCEB,0.0448,0.0328,-0.0454,,,-0.0369,0.0424,0.0372,-0.0442,,,-0.0366
16,VASIX,0.0532,0.0329,-0.0221,0.0244,0.0295,0.0541,0.0547,0.0379,-0.02,0.0273,0.0318,0.0541
17,VBILX,0.0229,0.0142,-0.0458,0.0131,0.018,0.0391,0.0213,0.0148,-0.0456,0.0137,0.0186,0.0401
18,VFMV,0.0513,0.0121,0.074,0.0683,,0.0763,0.1961,0.1261,0.0826,0.1177,0.1119,0.1102
19,VEXRX,0.0862,0.0299,0.0169,0.0833,0.0885,0.0907,0.0701,0.0064,-0.0342,0.0662,0.0792,0.0868
20,VTCLX,0.2072,0.1363,0.0894,0.124,0.117,0.102,0.2058,0.1357,0.0872,0.1225,0.1156,0.1019
21,VCPAX,0.0285,0.0255,,,,-0.048,0.0229,0.0194,-0.0405,0.01,0.0166,-0.052
22,VGCAX,0.051,0.0404,-0.0307,0.0274,,0.0269,0.0477,0.04,-0.0365,0.0166,0.0244,0.0165
23,VSPMX,0.0704,0.011,0.0729,0.0806,0.0863,0.0963,0.071,0.0117,0.0736,0.0812,0.0869,0.097
24,VSPVX,0.1575,0.1121,0.1228,0.1058,,0.092,0.1582,0.1129,0.1237,0.1066,0.0968,0.0927
25,VFIDX,0.0436,0.0367,-0.0363,0.0195,0.0228,0.0443,0.0414,0.0376,-0.0382,0.0226,0.0263,0.0487
26,VSMAX,0.0718,0.0081,0.0374,0.0699,0.0765,0.0859,0.0708,0.0071,0.037,0.0695,0.0763,0.0854
27,VNJTX,0.049,0.0481,-0.0058,0.0258,0.0342,0.053,0.0521,0.054,0.0004,0.0291,0.0342,
28,VMNIX,0.1072,0.1399,0.1554,0.0451,0.0301,0.0309,0.0477,0.0512,0.0209,0.0186,0.012,0.0184
29,VICSX,0.0428,0.0364,-0.0389,0.0221,0.0263,0.0377,0.0441,0.0405,-0.0377,0.0238,0.0274,0.0387
30,BNDX,0.0538,0.0243,-0.0339,0.0051,0.0203,0.02,0.0537,0.0274,-0.0332,0.0061,0.0221,0.0217
31,VUSTX,-0.0487,-0.0695,-0.1418,-0.0189,0.0113,0.0594,-0.0511,-0.0672,-0.1416,-0.0181,0.0124,0.0625
32,VEXPX,0.0852,0.0288,0.0158,0.0822,0.0872,0.0926,0.0701,0.0064,-0.0342,0.0662,0.0792,
33,VMBIX,0.0077,0.0038,-0.0408,-0.0028,0.0082,0.0076,0.0096,0.0054,-0.0394,-0.0015,0.0091,0.0085
34,VFIFX,0.1439,0.0975,0.0474,0.0835,0.0766,0.0725,0.1462,0.1065,0.0504,0.088,0.08,0.0748
35,VEMBX,0.0865,0.0881,-0.0161,0.0495,,0.0582,0.0607,0.0642,-0.0444,0.01,0.0279,0.0205
36,VMIAX,0.0745,0.0166,0.0779,0.1041,0.0821,0.086,0.0754,0.0176,0.0788,0.1053,0.0829,0.0872
37,VEIGX,0.1278,0.1013,0.0836,,,0.1209,0.1684,0.1249,0.0608,0.0943,0.0801,0.0965
38,VWNFX,0.1485,0.0912,0.1042,0.1145,0.0968,0.1068,0.0561,0.0136,0.0827,0.0752,0.0809,0.103
39,VSCGX,0.0794,0.0515,-0.0021,0.0423,0.0439,0.0628,0.0807,0.0578,0.0007,0.046,0.0466,0.0627
40,VSGBX,0.0228,0.0223,-0.0118,0.0107,0.0092,0.0418,0.0279,0.0282,-0.0132,0.011,0.0093,0.0429
41,VBIUX,0.0232,0.0145,-0.0455,0.0134,0.0183,0.0207,0.0213,0.0148,-0.0456,0.0137,0.0186,0.0209
42,VBMPX,0.0195,0.0134,-0.0445,0.0076,0.0137,0.0207,0.0178,0.0132,-0.0446,0.0079,0.014,0.0211
43,VWENX,0.1019,0.0703,0.0477,0.0776,0.0772,0.0757,0.1439,0.0993,0.0469,0.0883,0.0851,0.069
44,VSVNX,0.1444,0.0978,,,,0.1071,0.1462,0.1065,0.0504,0.088,0.0787,0.1081
45,VFMO,0.0636,0.0002,0.0541,0.106,,0.0959,0.1961,0.1261,0.0826,0.1177,0.1119,0.1102
46,VFH,0.0694,0.007,0.1068,0.077,0.0936,0.05,0.07,0.0071,0.1077,0.0777,0.0947,0.0508
47,VIIIX,0.2078,0.1381,0.0974,0.125,0.118,0.0831,0.208,0.1384,0.0976,0.1251,0.1182,0.0828
48,MGK,0.4621,0.3337,0.0906,0.1725,0.147,0.1204,0.4624,0.3332,0.0915,0.173,0.1478,0.1212
49,VWIUX,0.0357,0.038,-0.006,0.0212,0.0255,0.0354,0.033,0.0379,-0.0051,0.0201,0.0237,
50,VINAX,0.1342,0.0914,0.0858,0.1026,0.0965,0.084,0.135,0.0923,0.0868,0.1036,0.0974,0.0853
51,VIEIX,0.1355,0.0613,0.0023,0.0727,0.0781,0.0834,0.1317,0.0577,0.0005,0.071,0.0767,0.0819
52,VTSPX,0.0349,0.0323,0.0224,0.0315,0.018,0.0156,0.0338,0.0318,0.0225,0.0317,0.0183,0.0156
53,VTWNX,0.0824,0.0547,0.0103,0.0507,0.0523,0.057,0.0836,0.0608,0.0128,0.0544,0.0551,0.0591
54,VWINX,0.0252,0.0089,0.0077,0.0457,0.0504,0.0916,0.0245,0.0089,0.0031,0.0394,0.0465,
55,VQNPX,0.1962,0.1226,0.1,0.1219,0.1161,0.1041,0.208,0.1384,0.0976,0.1251,0.1182,0.1055
56,VTWO,0.0435,-0.0246,0.0115,0.0484,0.0619,0.0932,0.042,-0.0256,0.0113,0.0478,0.0613,0.093
57,VIOG,0.044,-0.0279,0.031,0.0511,0.0769,0.1175,0.0446,-0.0274,0.0327,0.0524,0.0786,0.1193
58,VAIPX,0.0114,-0.0011,-0.0161,0.026,0.019,0.031,0.0117,0.0014,-0.0149,0.0272,0.02,0.0323
59,VTMNX,0.1142,0.0894,0.0361,0.0603,0.0415,0.0444,0.1158,0.1113,0.0347,0.0605,0.0411,0.0433
60,VDIGX,0.0466,0.0199,0.0839,0.1086,0.1061,0.0895,0.1,0.0581,0.0802,0.1094,0.1054,0.0823
61,IVOO,0.0706,0.0108,0.0725,0.0803,0.0857,0.1126,0.071,0.0117,0.0736,0.0812,0.0869,0.1139
62,VLXVX,0.1439,0.0976,0.0476,0.0834,,0.0772,0.1462,0.1065,0.0504,0.088,,0.0812
63,VOX,0.3731,0.2752,-0.0003,0.0771,0.0525,0.069,0.3697,0.2717,-0.0005,0.0768,0.0523,0.0639
64,VAW,0.0746,0.0171,0.0777,0.1041,0.082,0.0879,0.0754,0.0176,0.0788,0.1053,0.0829,0.089
65,VWSUX,0.0316,0.0334,0.0092,0.0147,0.0115,0.0184,0.0279,0.0274,0.0067,0.013,0.0103,0.0186
66,VMGAX,0.4616,0.3324,0.091,0.1724,0.1472,0.1266,0.4624,0.3332,0.0915,0.173,0.1478,0.1273
67,VINEX,0.0733,0.0566,-0.029,0.0194,0.0311,0.0752,0.0548,0.0661,-0.0242,0.0275,0.0378,0.0582
68,VITAX,0.4549,0.338,0.1219,0.2154,0.1962,0.1348,0.4544,0.3377,0.1226,0.2165,0.1973,0.1364
69,VMNVX,0.0535,0.025,0.0513,0.0458,,0.0745,0.174,0.1207,0.0796,0.1044,0.0937,0.0966
70,VSMGX,0.1046,0.0691,0.0174,0.0589,0.0574,0.0717,0.1069,0.0775,0.0209,0.0636,0.0606,0.0737
71,VDE,0.0019,-0.0373,0.3895,0.1004,0.0296,0.0721,0.0026,-0.0367,0.3911,0.1014,0.031,0.0721
72,VSS,0.0894,0.0653,0.0117,0.0438,0.0354,0.0808,0.0869,0.0841,0.0095,0.0438,0.0342,0.0821
73,VFTNX,0.2561,0.174,0.0823,0.1275,0.1226,0.0964,0.2573,0.1752,0.0835,0.1286,0.1238,0.0973
74,VIGIX,0.4076,0.2885,0.0768,0.1607,0.1388,0.0839,0.4083,0.2891,0.0771,0.1611,0.1392,0.084
75,VPL,0.0932,0.0721,0.001,0.0396,0.039,0.044,0.0933,0.0941,0.0008,0.0416,0.0399,0.0444
76,VMSAX,0.0672,0.0635,,,,-0.0186,0.0621,0.0597,,,,-0.0245
77,VESGX,0.1288,0.1024,0.0847,,,0.122,0.1684,0.1249,0.0608,0.0943,0.0801,0.0965
78,VOHIX,0.0357,0.0356,-0.0178,0.0201,0.0316,0.051,0.0354,0.0396,-0.0133,0.0186,0.0275,
79,VONG,0.3662,0.2625,0.0885,0.1631,0.1458,0.1553,0.3663,0.2617,0.0892,0.1636,0.1469,0.1565
80,VFWAX,0.1008,0.0764,0.0206,0.0533,0.0375,0.0572,0.1025,0.0964,0.0212,0.0549,0.0381,0.0578
81,VTES,,,,,,0.0225,,,,,,
82,VPU,-0.0962,-0.1041,0.0266,0.0495,0.0841,0.0869,-0.0954,-0.1035,0.0279,0.0507,0.0851,0.0885
83,VFFVX,0.1439,0.0977,0.0474,0.0835,0.0765,0.0943,0.1462,0.1065,0.0504,0.088,0.08,0.0975
84,VPADX,0.0924,0.0695,0.0003,0.0397,0.0393,0.0498,0.0933,0.0941,0.0008,0.0416,0.0399,0.0504
85,VGYAX,0.0494,0.0386,0.0147,0.0391,,0.0297,0.0525,0.0423,0.0079,0.0376,,0.0287
86,VCAIX,0.0337,0.0367,-0.0081,0.0188,0.0249,0.0414,0.0276,0.0344,-0.0101,0.0177,0.0223,
87,VAGVX,0.0845,0.0659,,,,0.007,0.0609,0.0359,0.0692,0.0553,0.0506,-0.0104
88,VOT,0.1424,0.07,0.0082,0.0988,0.0963,0.0901,0.1426,0.0703,0.0085,0.0993,0.0968,0.0904
89,VSBSX,0.0307,0.0322,-0.0051,0.0114,0.0084,0.0092,0.031,0.0328,-0.0046,0.0121,0.0092,0.0101
90,IVOV,0.0468,-0.0063,0.1056,0.0796,0.0825,0.1091,0.0472,-0.0056,0.1074,0.081,0.0843,0.111
91,VIGI,0.0979,0.0734,0.026,0.076,,0.0799,0.0952,0.0895,0.0264,0.0777,,0.0821
92,VTIP,0.0354,0.0314,0.0224,0.0314,0.0177,0.0154,0.0338,0.0318,0.0225,0.0317,0.0183,0.0155
93,VWESX,0.0202,0.0048,-0.0956,0.012,0.0302,0.0738,0.0194,0.0079,-0.0953,0.0107,0.0284,0.0736
94,VASVX,0.1537,0.1148,0.1321,0.106,0.0819,0.0893,0.0457,-0.0075,0.0729,0.071,0.0774,0.0979
95,VSGDX,0.0238,0.0233,-0.0108,0.0117,0.0102,0.026,0.0279,0.0282,-0.0132,0.011,0.0093,0.0254
96,VGPMX,0.0676,0.0677,0.1429,0.1286,0.0376,0.0453,0.1048,0.0716,0.0533,0.0955,0.0395,0.0393
97,VUG,0.408,0.2895,0.0765,0.1609,0.1387,0.1057,0.4083,0.2891,0.0771,0.1611,0.1392,0.1062
98,VWEHX,0.08,0.0746,0.0101,0.0397,0.0402,0.0774,0.0855,0.0793,0.0103,0.0426,0.0417,
99,VT,0.1606,0.1094,0.0571,0.0908,0.0774,0.0678,0.1601,0.1167,0.0574,0.0913,0.0781,0.0682
100,VADGX,0.0855,0.0672,,,,0.0386,0.1,0.0581,,,,0.0119
101,VUSUX,-0.0478,-0.0685,-0.1409,-0.0179,0.0123,0.0415,-0.0511,-0.0672,-0.1416,-0.0181,0.0124,0.0419
102,VMFVX,0.0469,-0.006,0.1068,0.0805,0.0837,0.1036,0.0472,-0.0056,0.1074,0.081,0.0843,0.1043
103,VMBSX,0.0077,0.0036,-0.041,-0.0031,0.008,0.0141,0.0096,0.0054,-0.0394,-0.0015,0.0091,0.0151
104,VGRNX,-0.0184,-0.03,-0.0595,-0.0231,0.0066,0.0214,-0.0176,-0.0144,-0.0629,-0.0253,0.0028,0.0184
105,VPMCX,0.2227,0.1531,0.0997,0.1129,0.1266,0.1342,0.208,0.1384,0.0976,0.1251,0.1182,0.1138
106,VSIGX,0.016,0.0083,-0.0404,0.0062,0.0095,0.0147,0.0144,0.0088,-0.0398,0.0069,0.0103,0.0155
107,VHT,-0.0278,-0.0478,0.0483,0.077,0.1053,0.0964,-0.0273,-0.0474,0.0494,0.0777,0.1061,0.0977
108,VIHAX,0.1076,0.0937,0.0785,0.0597,,0.069,0.1171,0.1184,0.0822,0.0635,0.0374,0.0733
109,VTINX,0.0682,0.0454,-0.0007,0.038,0.0374,0.047,0.0686,0.0503,0.0012,0.0409,0.0397,0.0483
110,VRTTX,0.1959,0.1257,0.082,0.1171,0.1112,0.1257,0.1961,0.1261,0.0826,0.1177,0.1119,0.1264
111,VEGBX,0.0875,0.0893,-0.0148,0.0511,,0.04,0.0607,0.0642,-0.0444,0.01,0.0279,-0.0006
112,VWITX,0.0349,0.0372,-0.0068,0.0204,0.0247,0.0492,0.033,0.0379,-0.0051,0.0201,0.0237,
113,VWETX,0.0212,0.0058,-0.0947,0.013,0.0313,0.0537,0.0194,0.0079,-0.0953,0.0107,0.0284,0.0512
114,VIG,0.0999,0.0583,0.0795,0.1087,0.1046,0.0917,0.1,0.0581,0.0802,0.1094,0.1054,0.0928
115,VTAPX,0.0347,0.0321,0.0222,0.0313,0.0177,0.0153,0.0338,0.0318,0.0225,0.0317,0.0183,0.0155
116,VBITX,0.0328,0.0323,-0.0113,0.0139,0.0119,0.0123,0.032,0.0326,-0.011,0.0142,0.0123,0.0128
117,VBIMX,0.0231,0.0144,-0.0456,0.0133,0.0182,0.0373,0.0213,0.0148,-0.0456,0.0137,0.0186,0.0371
118,VWAHX,0.05,0.0479,-0.0087,0.023,0.0352,0.0596,0.0398,0.0428,-0.0096,0.0203,0.0277,
119,VNQI,-0.0087,-0.0255,-0.0575,-0.0226,0.0067,0.0219,-0.0176,-0.0144,-0.0629,-0.0253,0.0028,0.0188
120,VHCOX,0.1867,0.1249,0.0742,0.1067,0.122,0.1218,0.17,0.0998,0.0043,0.1005,0.1011,0.0942
121,VSGAX,0.0949,0.0259,-0.0355,0.0586,0.0701,0.105,0.0938,0.0247,-0.0359,0.0584,0.0697,0.1044
122,VWNEX,0.0892,0.0483,0.1235,0.1141,0.095,0.0812,0.0561,0.0136,0.0827,0.0752,0.0809,0.0761
123,VGIAX,0.1972,0.1239,0.1011,0.1231,0.1173,0.0779,0.208,0.1384,0.0976,0.1251,0.1182,0.0799
124,VMLUX,0.0298,0.0326,0.0026,0.0167,0.0147,0.0241,0.0264,0.0286,-0.0014,0.0143,0.0133,0.0259
125,VTILX,-0.0095,0.0652,-0.0208,,,-0.024,-0.0091,0.0684,-0.0194,0.0057,0.023,-0.0223
126,VRTVX,0.0204,-0.0466,0.0648,0.0476,0.0574,0.0838,0.0196,-0.0473,0.0647,0.0472,0.0571,0.0836
127,VRNIX,0.2056,0.1354,0.0867,0.122,0.1148,0.1284,0.2058,0.1357,0.0872,0.1225,0.1156,0.1293
128,VNJUX,0.0498,0.0489,-0.005,0.0266,0.035,0.0411,0.0521,0.054,0.0004,0.0291,0.0342,
129,VPMAX,0.2235,0.1539,0.1004,0.1137,0.1274,0.1083,0.208,0.1384,0.0976,0.1251,0.1182,0.0869
130,VWUSX,0.3791,0.2678,-0.0062,0.1245,0.1267,0.1063,0.3663,0.2617,0.0892,0.1636,0.1469,
131,VRVIX,0.0558,0.0132,0.082,0.0748,0.0801,0.0978,0.0561,0.0136,0.0827,0.0752,0.0809,0.0986
132,VBLAX,-0.0073,-0.026,-0.1111,,,-0.0102,-0.0072,-0.0209,-0.1103,0.0032,0.0238,-0.0094
133,VEMAX,0.0568,0.0346,-0.0245,0.0335,0.0254,0.0444,0.0578,0.0487,-0.0211,0.0368,0.0265,0.046
134,VFSAX,0.0847,0.0653,0.0091,,,0.0425,0.0869,0.0841,0.0095,0.0438,0.0342,0.0424
135,VGRLX,-0.02,-0.031,-0.0595,-0.0232,0.0065,0.0229,-0.0176,-0.0144,-0.0629,-0.0253,0.0028,0.0198
136,VSBIX,0.0308,0.0325,-0.005,0.0115,0.0086,0.0083,0.031,0.0328,-0.0046,0.0121,0.0092,0.0089
137,VSIAX,0.0562,-0.0038,0.0938,0.0714,0.0777,0.1128,0.0554,-0.0045,0.0939,0.0712,0.0777,0.1129
138,VTCIX,0.2076,0.1367,0.0897,0.1243,0.1173,0.0778,0.2058,0.1357,0.0872,0.1225,0.1156,0.0752
139,VFIAX,0.2076,0.1379,0.0971,0.1248,0.1178,0.0744,0.208,0.1384,0.0976,0.1251,0.1182,0.0747
140,VIDGX,,,,,,0.014,,,,,,
141,VCLT,0.0398,0.0143,-0.0867,0.019,0.0323,0.0453,0.0332,0.0214,-0.0865,0.019,0.0321,0.0453
142,VGIT,0.0157,0.0083,-0.0399,0.0064,0.0097,0.018,0.0144,0.0088,-0.0398,0.0069,0.0103,0.0188
143,VWNAX,0.1491,0.0921,0.105,0.1154,0.0977,0.0779,0.0561,0.0136,0.0827,0.0752,0.0809,0.07
144,VCLAX,0.0452,0.045,-0.0121,0.0219,0.0331,0.038,0.0388,0.0421,-0.0102,0.0202,0.0287,0.0384
145,VWALX,0.0507,0.0488,-0.0079,0.0238,0.036,0.0415,0.0398,0.0428,-0.0096,0.0203,0.0277,0.0377
146,VBIRX,0.0326,0.0321,-0.0114,0.0137,0.0116,0.0244,0.032,0.0326,-0.011,0.0142,0.0123,0.0258
147,VZICX,0.1017,0.0862,0.0532,,,0.0641,0.1009,0.0926,0.0167,0.0506,0.0341,0.0417
148,VEOAX,-0.0154,-0.0634,,,,-0.0528,0.166,0.1201,0.0569,0.0907,0.076,0.1412
149,VRTIX,0.0429,-0.0247,0.0118,0.0486,0.0622,0.0815,0.042,-0.0256,0.0113,0.0478,0.0613,0.0807
150,VTWIX,0.1592,0.1082,0.0568,0.0905,0.0776,0.0992,0.1601,0.1167,0.0574,0.0913,0.0781,0.0975
151,VMVLX,0.0433,0.0109,0.1044,0.0874,0.0967,0.0836,0.0426,0.0103,0.1045,0.0876,0.097,0.0838
152,VWSTX,0.0308,0.0326,0.0084,0.0138,0.0106,0.0355,0.0279,0.0274,0.0067,0.013,0.0103,
153,VTSNX,0.0993,0.0755,0.0203,0.0526,0.0373,0.0452,0.1009,0.0952,0.0201,0.0538,0.0378,0.0454
154,VPCCX,0.167,0.1023,0.0994,0.1046,0.1166,0.1065,0.2107,0.1395,0.0879,0.124,0.1172,0.0967
155,VBIPX,0.0329,0.0324,-0.0112,0.014,0.012,0.0124,0.032,0.0326,-0.011,0.0142,0.0123,0.0128
156,VHCIX,-0.028,-0.0481,0.0486,0.077,0.1055,0.0964,-0.0273,-0.0474,0.0494,0.0777,0.1061,0.0978
157,VLCAX,0.2168,0.1452,0.0886,0.1242,0.1169,0.0955,0.2167,0.1453,0.0889,0.1246,0.1174,0.096
158,VDC,-0.0089,-0.0411,0.053,0.078,0.0804,0.0921,-0.0085,-0.0412,0.0539,0.079,0.0815,0.0926
159,VOOG,0.2529,0.1579,0.066,0.1323,0.1309,0.1478,0.2537,0.1582,0.0674,0.1332,0.1324,0.1493
160,VUBFX,0.0465,0.05,0.0141,0.0195,,0.0161,0.0435,0.048,0.0141,0.0186,0.0129,0.0144
161,VFICX,0.0426,0.0357,-0.0372,0.0185,0.0218,0.0482,0.0414,0.0376,-0.0382,0.0226,0.0263,0.0532
162,VFMFX,0.0931,0.0319,0.1229,0.0878,,0.0733,0.1961,0.1261,0.0826,0.1177,0.1119,0.1053
163,VCITX,0.0445,0.0442,-0.0129,0.0211,0.0323,0.0531,0.0388,0.0421,-0.0102,0.0202,0.0287,
164,VIS,0.1344,0.0917,0.0857,0.1026,0.0964,0.0949,0.135,0.0923,0.0868,0.1036,0.0974,0.0953
165,VGSH,0.0309,0.0326,-0.0048,0.0117,0.0086,0.0089,0.031,0.0328,-0.0046,0.0121,0.0092,0.0097
166,BSV,0.0323,0.0323,-0.0112,0.0138,0.0116,0.022,0.032,0.0326,-0.011,0.0142,0.0123,0.0226
167,VYM,0.0094,-0.0259,0.0944,0.0777,0.0901,0.0781,0.0095,-0.0262,0.0952,0.0779,0.0908,0.0789
168,VFITX,0.0115,0.0037,-0.0394,0.0074,0.0098,0.047,0.0062,-0.0023,-0.0517,0.0048,0.0109,0.049
169,VSTCX,0.0705,0.0136,0.1027,0.0769,0.077,0.073,0.0655,0.0004,0.047,0.0706,0.0741,0.0771
170,VEMPX,0.1356,0.0615,0.0024,0.0728,0.0782,0.0935,0.1317,0.0577,0.0005,0.071,0.0767,0.092
